borough,incident_zip,complaint_type,request_count,avg_response_hours,repeat_proxy_rate,delay_48h_rate,volume_score,delay_score,response_score,repeat_score,hotspot_priority_score,hotspot_rank,hotspot_label
BROOKLYN,11225,PLUMBING,156,465.9933760683761,0.5064102564102564,0.903846153846154,0.005668016194331984,0.903846153846154,0.02891542862050099,0.45894970414201186,0.32435600006074883,98,BROOKLYN | 11225 | PLUMBING
MANHATTAN,10032,HEAT/HOT WATER,772,95.90921740069084,0.9248704663212436,0.4507772020725388,0.0680161943319838,0.4507772020725388,0.005936468238955339,0.9176464726982863,0.3243205430264288,99,MANHATTAN | 10032 | HEAT/HOT WATER
MANHATTAN,10033,PLUMBING,118,682.5590607344633,0.5677966101694916,0.847457627118644,0.0018218623481781376,0.847457627118644,0.04236224651689439,0.5262385919165581,0.32419520707977806,100,MANHATTAN | 10033 | PLUMBING
BRONX,10457,PAINT/PLASTER,248,369.3980622759857,0.5483870967741935,0.8548387096774194,0.014979757085020242,0.8548387096774194,0.0229177120560602,0.5049627791563275,0.32413179289303745,101,BRONX | 10457 | PAINT/PLASTER
BRONX,10459,PLUMBING,127,468.9761264216973,0.5354330708661418,0.8818897637795275,0.0027327935222672063,0.8818897637795275,0.029100631095645445,0.49076317383404006,0.3240832877849436,102,BRONX | 10459 | PLUMBING
BRONX,10472,PLUMBING,103,463.13953883495145,0.5922330097087378,0.8349514563106796,0.0003036437246963563,0.8349514563106796,0.028738230512485967,0.5530246452576549,0.3237749851959524,103,BRONX | 10472 | PLUMBING
BRONX,10452,ELECTRIC,129,400.4289384151594,0.5426356589147286,0.875968992248062,0.0029352226720647774,0.875968992248062,0.02484445562696513,0.4986583184257603,0.3236246691600383,104,BRONX | 10452 | ELECTRIC
MANHATTAN,10031,GENERAL,103,613.4879207119741,0.4854368932038835,0.9223300970873788,0.0003036437246963563,0.9223300970873788,0.03807353825172876,0.43595967139656466,0.3236069467787955,105,MANHATTAN | 10031 | GENERAL
BRONX,10458,DOOR/WINDOW,198,649.4413005050505,0.4696969696969697,0.9191919191919192,0.009919028340080972,0.9191919191919192,0.0403059258600555,0.41870629370629375,0.32355273875427926,106,BRONX | 10458 | DOOR/WINDOW
BROOKLYN,11216,UNSANITARY CONDITION,169,541.5253681788297,0.4615384615384615,0.9349112426035504,0.0069838056680161945,0.9349112426035504,0.03360529878542162,0.4097633136094674,0.3235147904578008,107,BROOKLYN | 11216 | UNSANITARY CONDITION
